page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
2,128,LRU,compilador.log,84419,14083,0.272908
2,256,LRU,compilador.log,59035,10050,0.326386
2,512,LRU,compilador.log,40341,7297,0.487872
2,1024,LRU,compilador.log,21639,4457,0.760035
2,2048,LRU,compilador.log,10190,2528,1.350432
2,4096,LRU,compilador.log,4849,1210,2.009883
2,8192,LRU,compilador.log,3621,0,2.165567
2,16384,LRU,compilador.log,3621,0,2.161340
4,128,LRU,compilador.log,98067,16759,0.188035
4,256,LRU,compilador.log,70315,12057,0.233958
4,512,LRU,compilador.log,48526,8496,0.320004
4,1024,LRU,compilador.log,31698,5957,0.476304
4,2048,LRU,compilador.log,15609,3436,0.750251
4,4096,LRU,compilador.log,6673,1773,1.370074
4,8192,LRU,compilador.log,3432,733,1.622095
4,16384,LRU,compilador.log,2852,0,1.743146
8,128,LRU,compilador.log,132386,23565,0.165412
8,256,LRU,compilador.log,92279,16308,0.186531
8,512,LRU,compilador.log,65270,11670,0.232779
8,1024,LRU,compilador.log,44465,8146,0.316607
8,2048,LRU,compilador.log,26928,5418,0.479349
8,4096,LRU,compilador.log,11951,2992,0.691651
8,8192,LRU,compilador.log,4825,1391,1.284626
8,16384,LRU,compilador.log,2494,418,1.493298
16,128,LRU,compilador.log,189322,35969,0.157710
16,256,LRU,compilador.log,123445,22667,0.164475
16,512,LRU,compilador.log,83950,15552,0.185454
16,1024,LRU,compilador.log,57600,10863,0.230709
16,2048,LRU,compilador.log,38430,7481,0.317620
16,4096,LRU,compilador.log,21527,4711,0.475096
16,8192,LRU,compilador.log,8198,2283,0.683459
16,16384,LRU,compilador.log,3201,944,1.132785
32,128,LRU,compilador.log,263907,51199,0.155703
32,256,LRU,compilador.log,170963,33391,0.157641
32,512,LRU,compilador.log,109458,20625,0.195409
32,1024,LRU,compilador.log,72140,13794,0.184211
32,2048,LRU,compilador.log,47785,9188,0.232428
32,4096,LRU,compilador.log,30752,6120,0.310541
32,8192,LRU,compilador.log,14172,3370,0.455588
32,16384,LRU,compilador.log,5223,1501,0.660863
64,128,LRU,compilador.log,370856,71036,0.156092
64,256,LRU,compilador.log,227915,48062,0.153943
64,512,LRU,compilador.log,147332,30666,0.155833
64,1024,LRU,compilador.log,93778,18860,0.162205
64,2048,LRU,compilador.log,60369,12357,0.181628
64,4096,LRU,compilador.log,38496,7918,0.224686
64,8192,LRU,compilador.log,22804,5026,0.306157
64,16384,LRU,compilador.log,9859,2516,0.465616
2,128,2a,compilador.log,82459,11931,0.223821
2,256,2a,compilador.log,58193,8903,0.307833
2,512,2a,compilador.log,39021,6411,0.460463
2,1024,2a,compilador.log,20777,3943,0.756613
2,2048,2a,compilador.log,9788,2246,1.337848
2,4096,2a,compilador.log,4774,1069,1.977248
2,8192,2a,compilador.log,3621,0,2.161796
2,16384,2a,compilador.log,3621,0,2.155739
4,128,2a,compilador.log,92703,13131,0.177567
